id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965482971639808,"RT @blurrytylerr: ""@STRAlGHTPERSON: happy #transdayofvisibility !! trans ppl quote this w a selfie"" fluid af expression doesnt≠identity htt…",Tue Mar 31 17:59:36 +0000 2015,False,,,graveltokiyoko,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,STRAlGHTPERSON,12966,127
582965478647336960,"RT @PastelLesbian: #transdayofvisibility 
Your local neighborhood nb coming to a theater near you

(They/them) http://t.co/hFoR8HdatR",Tue Mar 31 17:59:35 +0000 2015,False,,,PetiteBoii,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,demon_fever,883,364
582965478500495361,RT @achiIIcs: It's ur local blonde agender hottie #transdayofvisibility http://t.co/oTwNANkCm9,Tue Mar 31 17:59:35 +0000 2015,False,,,BLOODMlLK,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,copperlesbian,315,144
582965478265589762,happy #transdayofvisibility !! show the world how beautiful you are today!!,Tue Mar 31 17:59:35 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,renmaguire,359,119
582965474075516928,RT @mitchgrassi: happy #transdayofvisibility! 💕☁️,Tue Mar 31 17:59:34 +0000 2015,False,,,mitchgrassi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,SaraLenay,42,250
582965473630879744,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility &amp; http://t.co/nTdRDWkbFA",Tue Mar 31 17:59:34 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965470619426816,RT @tyleroakley: Hope my followers check out #transdayofvisibility. Visibility is important. Listen to &amp; amplify trans experiences. http://…,Tue Mar 31 17:59:33 +0000 2015,False,,,tyleroakley,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,JustIwa,159,424
582965466295074816,RT @dylandreilich: #transdayofvisibility http://t.co/hF4SyzzwAn,Tue Mar 31 17:59:32 +0000 2015,False,,,dylandreilich,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,lilahv,1932,1344
582965463484887040,RT @AKlRAMADOS: “@STRAlGHTPERSON: happy #transdayofvisibility !!!! trans ppl quote this w a selfie so we can all cry over ur beauty!” http:…,Tue Mar 31 17:59:32 +0000 2015,False,,,tenyasiidas,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,STRAlGHTPERSON,12966,127
582965460666335233,Happy #TransDayOfVisibility ! This is important,Tue Mar 31 17:59:31 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,louxdlr,248,331
582965459928129536,RT @creampuffandy: “@STRAlGHTPERSON: happy #transdayofvisibility !!trans ppl quote this w a selfie so we can all cry over ur beauty!!” 💀 ht…,Tue Mar 31 17:59:31 +0000 2015,False,,,gayeass,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,darepooll,2970,748
582965459814866944,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility % http://t.co/Da5lCedUOq",Tue Mar 31 17:59:31 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965459647090688,"RT @tywrent: AFAB = assigned female at birth 
AMAB = assigned male at birth 
do not say ""biologically M/F"" - that is misgendering. #transda…",Tue Mar 31 17:59:31 +0000 2015,False,,,tywrent,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,semanticpoetry,515,616
582965458594320385,"RT @jenalive11: ""The boundary to what we can accept is the boundary to our freedom"" - Tara Brach #learning #transdayofvisibility http://t.c…",Tue Mar 31 17:59:30 +0000 2015,False,,,jenalive11,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,sadishemo,20,137
582965456258142210,Don't treat anyone like they're invisible or you're the one that's hollow #transdayofvisibility,Tue Mar 31 17:59:30 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3,BiatchPack,9782,10392
582965455519879168,"RT @jenalive11: ""The boundary to what we can accept is the boundary to our freedom"" - Tara Brach #learning #transdayofvisibility http://t.c…",Tue Mar 31 17:59:30 +0000 2015,False,,,jenalive11,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,SoneJustin,231,599
582965451967373313,RT @theOFFICIALmilf: Protect trans women of color. protect nonbinary trans people. #TransDayOfVisibility,Tue Mar 31 17:59:29 +0000 2015,False,,,theOFFICIALmilf,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,viametanoia,1660,1871
